,Country,confirmed_inc,deaths_inc,recoveries_inc
542533,Turkey,1268.0,27.0,1315.0
542534,Turkey,1492.0,24.0,1386.0
542535,Turkey,1458.0,21.0,1472.0
542536,Turkey,1396.0,19.0,1492.0
542537,Turkey,1372.0,17.0,1984.0
542538,Turkey,1356.0,15.0,1413.0
542539,Turkey,1374.0,18.0,1214.0
542540,Turkey,1293.0,16.0,1302.0
542541,Turkey,1192.0,19.0,2311.0
542542,Turkey,1186.0,17.0,1543.0
542543,Turkey,1172.0,19.0,1313.0
542544,Turkey,1154.0,20.0,1214.0
542545,Turkey,1148.0,19.0,1188.0
542546,Turkey,1086.0,16.0,2315.0
542547,Turkey,1053.0,19.0,2297.0
542548,Turkey,1041.0,22.0,2219.0
542549,Turkey,1024.0,18.0,2879.0
542550,Turkey,1003.0,23.0,1493.0
542551,Turkey,1016.0,21.0,1334.0
542552,Turkey,1012.0,19.0,1298.0
542553,Turkey,1008.0,19.0,1156.0
542554,Turkey,992.0,20.0,1049.0
542555,Turkey,947.0,17.0,1013.0
542556,Turkey,933.0,21.0,1087.0
542557,Turkey,926.0,18.0,1014.0
542558,Turkey,918.0,17.0,1179.0
542559,Turkey,924.0,16.0,997.0
542560,Turkey,931.0,17.0,992.0
542561,Turkey,928.0,18.0,1009.0
542562,Turkey,902.0,19.0,1203.0
542563,Turkey,913.0,18.0,1151.0
542564,Turkey,937.0,17.0,1009.0
542565,Turkey,921.0,16.0,1103.0
542566,Turkey,927.0,17.0,1010.0
542567,Turkey,919.0,17.0,982.0
542568,Turkey,963.0,15.0,1092.0
542569,Turkey,942.0,14.0,996.0
542570,Turkey,967.0,15.0,982.0
542571,Turkey,982.0,17.0,996.0
542572,Turkey,996.0,19.0,981.0
542573,Turkey,987.0,18.0,978.0
542574,Turkey,995.0,19.0,1003.0
542575,Turkey,1083.0,18.0,994.0
542576,Turkey,1178.0,19.0,1015.0
542577,Turkey,1153.0,14.0,1040.0
542578,Turkey,1185.0,15.0,1028.0
542579,Turkey,1172.0,16.0,1082.0
542580,Turkey,1182.0,15.0,1103.0
542581,Turkey,1193.0,14.0,1211.0
542582,Turkey,1183.0,15.0,1185.0
542583,Turkey,1212.0,18.0,934.0
542584,Turkey,1243.0,21.0,968.0
542585,Turkey,1226.0,22.0,923.0
542586,Turkey,1256.0,21.0,992.0
542587,Turkey,1192.0,19.0,997.0
542588,Turkey,1233.0,22.0,1002.0
542589,Turkey,1263.0,20.0,942.0
542590,Turkey,1303.0,23.0,1002.0
542591,Turkey,1412.0,19.0,882.0
542592,Turkey,1203.0,22.0,772.0
542593,Turkey,1309.0,22.0,801.0
542594,Turkey,1217.0,19.0,795.0
542595,Turkey,1443.0,18.0,743.0
542596,Turkey,1502.0,24.0,887.0
542597,Turkey,1313.0,20.0,1002.0
542598,Turkey,1491.0,26.0,995.0
542599,Turkey,1517.0,36.0,1017.0
542600,Turkey,1549.0,39.0,1003.0
542601,Turkey,1482.0,42.0,1027.0
542602,Turkey,1587.0,44.0,1087.0
542603,Turkey,1572.0,47.0,1003.0
542604,Turkey,1596.0,45.0,947.0
542605,Turkey,1642.0,49.0,1211.0
542606,Turkey,1612.0,53.0,1021.0
542607,Turkey,1673.0,56.0,984.0
542608,Turkey,1578.0,53.0,1013.0
542609,Turkey,1703.0,57.0,1047.0
542610,Turkey,1761.0,52.0,1093.0
542611,Turkey,1673.0,55.0,943.0
542612,Turkey,1512.0,58.0,1219.0
542613,Turkey,1671.0,56.0,1117.0
542614,Turkey,1509.0,48.0,1207.0
542615,Turkey,1527.0,57.0,1102.0
542616,Turkey,1716.0,63.0,1225.0
542617,Turkey,1742.0,67.0,1202.0
542618,Turkey,1771.0,63.0,1342.0
542619,Turkey,1648.0,66.0,1143.0
542620,Turkey,1771.0,62.0,1060.0
542621,Turkey,1538.0,68.0,1312.0
542622,Turkey,1519.0,61.0,1116.0
542623,Turkey,1743.0,68.0,1202.0
542624,Turkey,1692.0,65.0,1261.0
542625,Turkey,1767.0,72.0,1027.0
542626,Turkey,1721.0,74.0,1241.0
542627,Turkey,1665.0,73.0,1318.0
542628,Turkey,1511.0,71.0,1232.0
542629,Turkey,1467.0,68.0,1116.0
542630,Turkey,1412.0,65.0,1422.0
542631,Turkey,1427.0,68.0,1452.0
542632,Turkey,1391.0,65.0,1245.0
542633,Turkey,1407.0,67.0,1402.0
542634,Turkey,1442.0,63.0,1506.0
542635,Turkey,1502.0,59.0,1211.0
542636,Turkey,1429.0,57.0,1182.0
542637,Turkey,1603.0,57.0,1320.0
542638,Turkey,1511.0,55.0,1229.0
542639,Turkey,1581.0,56.0,1355.0
542640,Turkey,1615.0,58.0,1398.0
542641,Turkey,1629.0,55.0,1402.0
542642,Turkey,1649.0,56.0,1391.0
542643,Turkey,1502.0,59.0,1212.0
542644,Turkey,1614.0,58.0,1301.0
542645,Turkey,1632.0,62.0,1314.0
542646,Turkey,1671.0,57.0,1396.0
542647,Turkey,1693.0,66.0,1311.0
542648,Turkey,1812.0,73.0,1419.0
542649,Turkey,1723.0,71.0,1401.0
542650,Turkey,1815.0,72.0,1504.0
542651,Turkey,2026.0,75.0,1424.0
542652,Turkey,1894.0,74.0,1512.0
542653,Turkey,2013.0,68.0,1507.0
542654,Turkey,2102.0,71.0,1581.0
542655,Turkey,2165.0,74.0,1493.0
542656,Turkey,2091.0,69.0,1573.0
542657,Turkey,2017.0,72.0,1297.0
542658,Turkey,2198.0,75.0,1618.0
542659,Turkey,2209.0,76.0,1511.0
542660,Turkey,2305.0,77.0,1662.0
542661,Turkey,2319.0,72.0,1581.0
542662,Turkey,2322.0,78.0,1703.0
542663,Turkey,2213.0,75.0,1506.0
542664,Turkey,2106.0,74.0,1515.0
542665,Turkey,2302.0,76.0,1521.0
542666,Turkey,2343.0,79.0,1817.0
542667,Turkey,2391.0,77.0,1841.0
542668,Turkey,2311.0,81.0,1714.0
542669,Turkey,2436.0,83.0,1914.0
542670,Turkey,2483.0,81.0,1928.0
542671,Turkey,2516.0,84.0,2018.0
542672,Turkey,2576.0,85.0,2047.0
542673,Turkey,2529.0,87.0,2215.0
542674,Turkey,2693.0,86.0,2112.0
542675,Turkey,2841.0,88.0,2181.0
542676,Turkey,3045.0,93.0,2010.0
542677,Turkey,3116.0,92.0,2298.0
542678,Turkey,3223.0,89.0,2561.0
542679,Turkey,3316.0,94.0,2712.0
542680,Turkey,3819.0,103.0,2688.0
542681,Turkey,4215.0,116.0,2592.0
542682,Turkey,4542.0,123.0,2918.0
542683,Turkey,5103.0,141.0,3019.0
542684,Turkey,5532.0,135.0,3233.0
542685,Turkey,6017.0,139.0,3812.0
542686,Turkey,6713.0,153.0,3254.0
542687,Turkey,7381.0,161.0,3678.0
542688,Turkey,6814.0,168.0,3911.0
542689,Turkey,36008.0,174.0,3291.0
542690,Turkey,44506.0,177.0,3845.0
542691,Turkey,30103.0,182.0,3611.0
542692,Turkey,29281.0,185.0,4015.0
542693,Turkey,31219.0,188.0,4485.0
542694,Turkey,30110.0,190.0,4593.0
542695,Turkey,31923.0,193.0,4821.0
542696,Turkey,32381.0,187.0,4190.0
542697,Turkey,32736.0,193.0,4811.0
542698,Turkey,31896.0,196.0,4100.0
542699,Turkey,30402.0,195.0,4011.0
542700,Turkey,32137.0,203.0,5017.0
542701,Turkey,33198.0,211.0,5245.0
542702,Turkey,31712.0,217.0,5846.0
542703,Turkey,23225.0,220.0,5232.0
542704,Turkey,32106.0,226.0,5516.0
542705,Turkey,29136.0,222.0,23456.0
542706,Turkey,26919.0,218.0,22215.0
542707,Turkey,29617.0,229.0,28164.0
542708,Turkey,32102.0,235.0,29247.0
542709,Turkey,29718.0,240.0,29922.0
542710,Turkey,27515.0,243.0,30494.0
542711,Turkey,26410.0,246.0,31945.0
542712,Turkey,22195.0,241.0,25516.0
542713,Turkey,20316.0,246.0,21218.0
542714,Turkey,19103.0,254.0,34419.0
542715,Turkey,19256.0,251.0,32110.0
542716,Turkey,19650.0,259.0,34492.0
542717,Turkey,18102.0,254.0,33985.0
542718,Turkey,17543.0,256.0,35511.0
542719,Turkey,15118.0,253.0,23231.0
542720,Turkey,14205.0,254.0,21196.0
542721,Turkey,15197.0,257.0,22203.0
